SchemaCode,UniqueIdentifier,Field,OldValue,NewValue,Status
ACCESSCONTROL-ACTIONS-TEST.actions-test,6a9c6f54-777a-41ba-8e2b-57e97ef6e8e9,navigationURL,/workbench-ui/employee/hrms/inbox,/chad/hcm-digit-ui/employee/hrms/inbox,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,07f714ea-4f5d-429c-94c3-0ab9c4de4adc,navigationURL,/workbench-ui/employee/workbench/manage-master-data,/chad/hcm-digit-ui/employee/workbench/manage-master-data,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,2053385a-6ab5-45ff-ba6a-3ea4bd1ade6b,navigationURL,/workbench-ui/employee/workbench/localisation-search,/chad/hcm-digit-ui/employee/workbench/localisation-search,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,241ec3c7-97fc-4515-b3f4-53a5d2eeaac0,navigationURL,/workbench-ui/employee/hcmworkbench/master/master-landing-screen,/chad/hcm-digit-ui/employee/hcmworkbench/master/master-landing-screen,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,7b36d7d1-cf7d-4108-a789-e747e07e6d91,navigationURL,/workbench-ui/employee/hcmworkbench/campaign-view,/chad/hcm-digit-ui/employee/hcmworkbench/campaign-view,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,a7ac5590-5cc0-43c0-b38e-fdfeb63ef80a,navigationURL,/workbench-ui/employee/workbench/boundary/home,/chad/hcm-digit-ui/employee/workbench/boundary/home,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,c6af648b-4927-4646-94ec-b15fb49fcac0,navigationURL,/workbench-ui/employee/campaign/campaign-home,/chad/hcm-digit-ui/employee/campaign/campaign-home,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,b7b2c7f2-d677-4810-a788-eda5c28c3b2c,navigationURL,/workbench-ui/employee/campaign/my-campaign-new,/chad/hcm-digit-ui/employee/campaign/my-campaign-new,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,4cf37436-4c3e-4a70-bcb9-c23b45abfdbf,navigationURL,/workbench-ui/employee/campaign/setup-from-microplan,/chad/hcm-digit-ui/employee/campaign/setup-from-microplan,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,7e0599ee-a6d3-4f02-8d33-e66b31b55345,navigationURL,/workbench-ui/employee/campaign/setup-campaign,/chad/hcm-digit-ui/employee/campaign/setup-campaign,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,286d9a22-b877-40c0-a4eb-c28b58f4c120,navigationURL,/workbench-ui/employee/campaign/boundary/home?type=campaign,/chad/hcm-digit-ui/employee/campaign/boundary/home?type=campaign,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,7f8c51fc-bf81-4fda-9b61-e6779b6045e7,navigationURL,/workbench-ui/employee/campaign/my-campaign-new,/chad/hcm-digit-ui/employee/campaign/my-campaign-new,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,312461b5-35e3-4198-a0d3-bdc6157c4deb,navigationURL,/workbench-ui/employee/campaign/setup-campaign,/chad/hcm-digit-ui/employee/campaign/setup-campaign,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,39652181-d374-4040-8444-5f22f442c5f2,navigationURL,/workbench-ui/employee/campaign/campaign-home,/chad/hcm-digit-ui/employee/campaign/campaign-home,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,9a348187-192a-4ba4-b743-7ad6a5e61bd6,navigationURL,/workbench-ui/employee/campaign/my-campaign-new,/chad/hcm-digit-ui/employee/campaign/my-campaign-new,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,b0625858-c7a3-4b00-b931-53c4a97b2c82,navigationURL,/workbench-ui/employee/campaign/my-campaign,/chad/hcm-digit-ui/employee/campaign/my-campaign,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,00f875e6-95fe-48f5-a772-fd5ba04fc9cd,navigationURL,/workbench-ui/employee/campaign/my-campaign,/chad/hcm-digit-ui/employee/campaign/my-campaign,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,af39f6dd-c07f-4734-b0b2-b3beb9820ad1,navigationURL,/workbench-ui/employee/campaign/campaign-home,/chad/hcm-digit-ui/employee/campaign/campaign-home,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,231c64e8-5149-4fe7-b81a-4143e15ed124,navigationURL,/workbench-ui/employee/workbench/mdms-add-v2?moduleName=Health&masterName=ProjectTask,/chad/hcm-digit-ui/employee/workbench/mdms-add-v2?moduleName=Health&masterName=ProjectTask,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,0e7d283c-9716-41b0-9121-8ef4dbc63839,navigationURL,/workbench-ui/employee/workbench/mdms-search-v2?moduleName=ACCESSCONTROL-ROLEACTIONS&masterName=roleactions,/chad/hcm-digit-ui/employee/workbench/mdms-search-v2?moduleName=ACCESSCONTROL-ROLEACTIONS&masterName=roleactions,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,122e7cdd-30af-484e-9d83-7c5cfece1e7e,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchHouseholdConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchHouseholdConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,4b1bb4a6-3f89-4200-bef0-937e90eb9580,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,bb811e8f-382f-4ec7-8022-b41784086fac,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProductVariantConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProductVariantConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,dd8af65d-97a3-4010-b7da-476d732ffba4,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectBeneficiaryConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectBeneficiaryConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,976610e6-7153-4a58-8fa1-7b9b30764135,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectStaffConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectStaffConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,50e70bdf-b8cf-4292-bf14-43ac79e8f25f,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectTaskConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectTaskConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,c70239ce-7f2c-406e-9455-0d06036c8f4a,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProductConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProductConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,f3207a4e-ef5b-4bc3-be07-c1f5a542e41b,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchFacilityConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchFacilityConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,d24343e7-6d69-460b-acd5-800d67abc009,navigationURL,/workbench-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectResourceConfig,/chad/hcm-digit-ui/employee/utilities/search/commonHCMUiConfig/SearchProjectResourceConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,fb6e6e06-9346-403c-9e92-4560bd415dde,navigationURL,/workbench-ui/employee/workbench/mdms-search-v2?moduleName=HCM-ADDITIONAL-FIELD-SCHEMAS&masterName=additionalFieldSchemas,/chad/hcm-digit-ui/employee/workbench/mdms-search-v2?moduleName=HCM-ADDITIONAL-FIELD-SCHEMAS&masterName=additionalFieldSchemas,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,3745717f-c2a4-472e-a082-97791a46e297,navigationURL,/workbench-ui/employee/workbench/mdms-search-v2?moduleName=HCM-FIELD-APP-CONFIG&masterName=appConfig,/chad/hcm-digit-ui/employee/workbench/mdms-search-v2?moduleName=HCM-FIELD-APP-CONFIG&masterName=appConfig,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,ab8d4e47-6b5e-4670-9cc1-df3fe3d077cc,navigationURL,/workbench-ui/employee/workbench/mdms-search-v2?moduleName=HCM-PROJECT&masterName=projectConfiguration,/chad/hcm-digit-ui/employee/workbench/mdms-search-v2?moduleName=HCM-PROJECT&masterName=projectConfiguration,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,5fa070bb-d899-4b02-a387-a92919973c8d,navigationURL,/workbench-ui/employee/workbench/mdms-search-v2?moduleName=HCM-PROJECT-TYPES&masterName=projectTypes,/chad/hcm-digit-ui/employee/workbench/mdms-search-v2?moduleName=HCM-PROJECT-TYPES&masterName=projectTypes,SUCCESS
ACCESSCONTROL-ACTIONS-TEST.actions-test,bf7c6ae5-04e5-4ccc-ac5b-fe55a79475cd,navigationURL,/workbench-ui/employee/workbench/mdms-search-v2?moduleName=HCM-SERVICE-REGISTRY&masterName=serviceRegistry,/chad/hcm-digit-ui/employee/workbench/mdms-search-v2?moduleName=HCM-SERVICE-REGISTRY&masterName=serviceRegistry,SUCCESS
